Service Request URL,Service Request,Status,Request Date,Description
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071147&type=new_cs180221194656&viewRole=,101000071147,Assigned,"July 27, 2017 2:43 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071146&type=new_cs180301154109&viewRole=,101000071146,Assigned,"July 27, 2017 2:42 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071142&type=new_cs180221190731&viewRole=,101000071142,Completed,"July 27, 2017 2:38 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071140&type=new_cs180221194656&viewRole=,101000071140,Assigned,"July 27, 2017 2:36 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071139&type=new_cs180221190731&viewRole=,101000071139,Completed,"July 27, 2017 2:36 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071138&type=new_cs180221190731&viewRole=,101000071138,Completed,"July 27, 2017 2:33 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071136&type=new_cs180221190731&viewRole=,101000071136,Completed,"July 27, 2017 2:30 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071135&type=new_cs180221190731&viewRole=,101000071135,Completed,"July 27, 2017 2:27 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071130&type=new_cs180220201343&viewRole=,101000071130,Completed,"July 27, 2017 2:18 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071118&type=new_cs180301142929&viewRole=,101000071118,Completed,"July 27, 2017 1:44 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217362-101000071117&type=new_cs180301154109&viewRole=,217362-101000071117,Completed,"July 27, 2017 1:44 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217361-101000071116&type=new_cs180301154109&viewRole=,217361-101000071116,Assigned,"July 27, 2017 1:42 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071113&type=new_cs180221194656&viewRole=,101000071113,Assigned,"July 27, 2017 1:33 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071110&type=new_cs180221194656&viewRole=,101000071110,Assigned,"July 27, 2017 1:28 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071105&type=new_cs180221194656&viewRole=,101000071105,Assigned,"July 27, 2017 1:04 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071102&type=new_cs180301154109&viewRole=,101000071102,Assigned,"July 27, 2017 12:55 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217350-101000071099&type=new_cs180301154109&viewRole=,217350-101000071099,Completed,"July 27, 2017 12:38 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071095&type=new_cs180301154109&viewRole=,101000071095,Completed,"July 27, 2017 12:28 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217346-101000071093&type=new_cs180221194656&viewRole=,217346-101000071093,Assigned,"July 27, 2017 12:26 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217341-101000071091&type=new_cs180529151322&viewRole=,217341-101000071091,Assigned,"July 27, 2017 12:18 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071090&type=new_cs180301154109&viewRole=,101000071090,Assigned,"July 27, 2017 12:17 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071087&type=new_cs180221194656&viewRole=,101000071087,Assigned,"July 27, 2017 12:12 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071084&type=new_cs180221194656&viewRole=,101000071084,Assigned,"July 27, 2017 12:07 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071077&type=new_cs180220201343&viewRole=,101000071077,Completed,"July 27, 2017 11:58 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217331-101000071071&type=new_cs180221194032&viewRole=,217331-101000071071,Assigned,"July 27, 2017 11:42 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071070&type=new_cs180221194457&viewRole=,101000071070,Completed,"July 27, 2017 11:39 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071068&type=new_cs180301154109&viewRole=,101000071068,Assigned,"July 27, 2017 11:37 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071063&type=new_cs180221194656&viewRole=,101000071063,Assigned,"July 27, 2017 11:30 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071058&type=new_cs180221194656&viewRole=,101000071058,Assigned,"July 27, 2017 11:18 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071027&type=new_cs180221194656&viewRole=,101000071027,Completed,"July 27, 2017 10:09 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071022&type=new_cs180221194656&viewRole=,101000071022,Assigned,"July 27, 2017 9:58 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070998&type=new_cs180221194656&viewRole=,101000070998,Completed,"July 27, 2017 9:09 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070994&type=new_cs180221194656&viewRole=,101000070994,Completed,"July 27, 2017 8:57 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217278-101000070991&type=new_cs180301154109&viewRole=,217278-101000070991,Completed,"July 27, 2017 8:54 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070990&type=new_cs180226204420&viewRole=,101000070990,Completed,"July 27, 2017 8:51 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070986&type=new_cs180221194457&viewRole=,101000070986,Completed,"July 27, 2017 8:46 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070977&type=new_cs180221194032&viewRole=,101000070977,Completed,"July 27, 2017 8:12 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070976&type=new_cs180221194032&viewRole=,101000070976,Assigned,"July 27, 2017 8:11 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070975&type=new_cs180221194032&viewRole=,101000070975,Assigned,"July 27, 2017 8:09 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070973&type=new_cs180221194032&viewRole=,101000070973,Assigned,"July 27, 2017 8:08 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217259-101000070972&type=new_cs180221194656&viewRole=,217259-101000070972,Assigned,"July 27, 2017 8:07 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070971&type=new_cs180221194032&viewRole=,101000070971,Assigned,"July 27, 2017 8:07 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000070969&type=new_cs180221194656&viewRole=,101000070969,Assigned,"July 27, 2017 7:48 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217242-101000070964&type=new_cs180226204420&viewRole=,217242-101000070964,Completed,"July 27, 2017 12:12 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217241-101000070963&type=new_cs180226204420&viewRole=,217241-101000070963,Completed,"July 26, 2017 11:40 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217225-101000070960&type=new_cs180226204420&viewRole=,217225-101000070960,Completed,"July 26, 2017 9:02 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217199-101000070956&type=new_cs180529151350&viewRole=,217199-101000070956,Assigned,"July 26, 2017 6:56 pm",
